epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.23,2.6971,3.17204,3.38537,0.30774,0.40865,0.26496,0.10672,2.25575,5.58903,2.63154,0.00332645,0.00332645,0.070062
2,283.243,1.96958,2.16614,2.31086,0.44175,0.42024,0.35604,0.15172,1.96436,3.34477,2.24772,0.00659385,0.00659385,0.0399961
3,424.236,1.86491,2.13106,2.09603,0.3703,0.34186,0.27076,0.10592,2.03467,6.27737,2.21592,0.00979525,0.00979525,0.00986412
4,565.267,1.84561,2.15256,2.02879,0.43571,0.39896,0.33475,0.14003,1.86546,5.90947,2.08705,0.009703,0.009703,0.009703
5,705.959,1.77007,2.00808,1.91912,0.50918,0.46714,0.42542,0.19136,1.78427,3.31185,1.90961,0.009604,0.009604,0.009604
6,846.738,1.71265,1.89522,1.8513,0.62891,0.47661,0.5306,0.25483,1.73902,2.27432,1.85773,0.009505,0.009505,0.009505
7,987.34,1.67627,1.82267,1.81226,0.62711,0.51346,0.56775,0.29615,1.66572,1.9182,1.78696,0.009406,0.009406,0.009406
8,1128.16,1.64964,1.77511,1.77719,0.58307,0.53052,0.54559,0.26755,1.67325,2.22246,1.78658,0.009307,0.009307,0.009307
9,1268.78,1.62319,1.70644,1.74333,0.63678,0.57077,0.61139,0.32475,1.60066,2.18856,1.70251,0.009208,0.009208,0.009208
10,1409.53,1.61693,1.68098,1.72509,0.63621,0.54735,0.59506,0.31955,1.5924,1.98333,1.70233,0.009109,0.009109,0.009109
11,1550.16,1.60412,1.65167,1.70785,0.64247,0.5135,0.57193,0.30419,1.64344,1.94968,1.72169,0.00901,0.00901,0.00901
12,1690.68,1.59197,1.62845,1.69121,0.63987,0.58626,0.63575,0.33435,1.59922,1.73096,1.66887,0.008911,0.008911,0.008911
13,1831.11,1.56553,1.58938,1.67627,0.67343,0.55245,0.62419,0.32237,1.60156,1.69763,1.67637,0.008812,0.008812,0.008812
14,1971.56,1.55354,1.5665,1.66481,0.66562,0.5677,0.63737,0.34435,1.58008,1.6483,1.64493,0.008713,0.008713,0.008713
15,2111.94,1.55346,1.55221,1.65488,0.67589,0.58269,0.65915,0.36939,1.51211,1.60318,1.60188,0.008614,0.008614,0.008614
16,2252.79,1.54033,1.52822,1.64483,0.69405,0.5792,0.66295,0.36804,1.49685,1.5315,1.59745,0.008515,0.008515,0.008515
17,2393.28,1.53418,1.51584,1.63494,0.69882,0.62207,0.69242,0.38805,1.47143,1.67597,1.55925,0.008416,0.008416,0.008416
18,2534.15,1.52449,1.48409,1.63001,0.69265,0.60132,0.67856,0.38085,1.50817,1.6823,1.59816,0.008317,0.008317,0.008317
19,2674.63,1.52336,1.47269,1.62326,0.70943,0.6076,0.68836,0.38442,1.46838,1.45331,1.56585,0.008218,0.008218,0.008218
20,2815.08,1.51982,1.46507,1.61594,0.7186,0.66167,0.71838,0.3988,1.46125,1.42704,1.56327,0.008119,0.008119,0.008119
21,2955.43,1.50528,1.43338,1.60186,0.69991,0.61982,0.70038,0.39707,1.4653,1.44248,1.56356,0.00802,0.00802,0.00802
22,3095.74,1.50583,1.42069,1.59811,0.71856,0.64034,0.71318,0.40463,1.44386,1.39648,1.53569,0.007921,0.007921,0.007921
23,3236.22,1.50403,1.41,1.59681,0.706,0.66079,0.72348,0.41661,1.43618,1.32475,1.52777,0.007822,0.007822,0.007822
24,3376.6,1.50256,1.40582,1.59865,0.7351,0.66083,0.7325,0.42022,1.43509,1.28789,1.53217,0.007723,0.007723,0.007723
25,3517.12,1.48025,1.37919,1.58104,0.71205,0.65935,0.73287,0.41964,1.43317,1.3066,1.52291,0.007624,0.007624,0.007624
26,3658.95,1.47878,1.36487,1.57304,0.73626,0.65377,0.73331,0.42551,1.42804,1.29755,1.51469,0.007525,0.007525,0.007525
27,3799.61,1.47685,1.36507,1.56528,0.73008,0.66565,0.73334,0.42474,1.42984,1.34301,1.5127,0.007426,0.007426,0.007426
28,3940.28,1.47103,1.35259,1.56544,0.72924,0.66617,0.74207,0.42985,1.43354,1.27913,1.51053,0.007327,0.007327,0.007327
29,4080.88,1.4623,1.33899,1.56014,0.75341,0.66587,0.7507,0.43511,1.44797,1.31538,1.5077,0.007228,0.007228,0.007228
30,4221.34,1.46174,1.33012,1.56162,0.75917,0.66686,0.75261,0.44024,1.45508,1.23033,1.52145,0.007129,0.007129,0.007129
31,4361.78,1.4582,1.32579,1.55386,0.73926,0.6729,0.75417,0.44234,1.42455,1.21128,1.50104,0.00703,0.00703,0.00703
32,4502.24,1.45358,1.32611,1.54702,0.72247,0.69249,0.75707,0.44217,1.44182,1.24395,1.50845,0.006931,0.006931,0.006931
33,4642.8,1.44217,1.30141,1.54352,0.76641,0.67032,0.76214,0.44601,1.40811,1.22163,1.49317,0.006832,0.006832,0.006832
34,4783.13,1.44008,1.2878,1.54122,0.76356,0.68019,0.76645,0.45143,1.40734,1.19918,1.48568,0.006733,0.006733,0.006733
35,4923.38,1.43592,1.28926,1.5381,0.76084,0.67925,0.76762,0.45206,1.40748,1.21971,1.4878,0.006634,0.006634,0.006634
36,5063.77,1.43049,1.28148,1.53147,0.78061,0.68315,0.77153,0.45357,1.41448,1.1854,1.49131,0.006535,0.006535,0.006535
37,5204.1,1.43028,1.27224,1.53211,0.76633,0.68194,0.77337,0.45441,1.40097,1.19838,1.47828,0.006436,0.006436,0.006436
38,5344.78,1.43126,1.25888,1.5234,0.76239,0.69429,0.76799,0.45798,1.40034,1.15999,1.47739,0.006337,0.006337,0.006337
39,5485.32,1.42215,1.24829,1.51959,0.75071,0.70475,0.77245,0.45925,1.40831,1.15266,1.48392,0.006238,0.006238,0.006238
40,5625.74,1.41707,1.24536,1.51242,0.75581,0.69928,0.773,0.45843,1.41564,1.18587,1.48204,0.006139,0.006139,0.006139
41,5766.28,1.41511,1.23459,1.51096,0.74954,0.69798,0.77366,0.45901,1.40832,1.17968,1.47969,0.00604,0.00604,0.00604
42,5906.75,1.41383,1.21816,1.50827,0.74536,0.70646,0.77584,0.4616,1.40744,1.14836,1.47979,0.005941,0.005941,0.005941
43,6047.2,1.41343,1.22168,1.50595,0.74399,0.70808,0.77859,0.46138,1.40396,1.14733,1.47771,0.005842,0.005842,0.005842
44,6187.58,1.39999,1.20705,1.49989,0.77232,0.70228,0.78407,0.4665,1.40172,1.12502,1.47477,0.005743,0.005743,0.005743
45,6327.99,1.40138,1.19766,1.49677,0.75094,0.71651,0.78211,0.46504,1.40115,1.12057,1.46847,0.005644,0.005644,0.005644
46,6468.42,1.3906,1.19227,1.48427,0.75259,0.72008,0.78392,0.46697,1.40065,1.12298,1.4648,0.005545,0.005545,0.005545
47,6608.89,1.39114,1.18248,1.48716,0.77741,0.7137,0.79011,0.46906,1.40015,1.10542,1.46216,0.005446,0.005446,0.005446
48,6749.32,1.38025,1.1704,1.48189,0.75954,0.72816,0.78949,0.46965,1.39492,1.10254,1.46088,0.005347,0.005347,0.005347
49,6889.63,1.38514,1.16985,1.47769,0.7685,0.72667,0.79339,0.47122,1.38773,1.09349,1.46028,0.005248,0.005248,0.005248
50,7029.86,1.38369,1.1656,1.48482,0.77332,0.71886,0.79431,0.47342,1.39216,1.08096,1.46366,0.005149,0.005149,0.005149
51,7170.22,1.37543,1.1652,1.47705,0.77347,0.71838,0.798,0.47429,1.38544,1.07688,1.45905,0.00505,0.00505,0.00505
52,7310.56,1.37181,1.15419,1.4694,0.76996,0.72054,0.79845,0.47697,1.38391,1.07449,1.45914,0.004951,0.004951,0.004951
53,7451.09,1.35716,1.13709,1.45925,0.77752,0.71323,0.79577,0.4763,1.38386,1.06706,1.45925,0.004852,0.004852,0.004852
54,7591.33,1.36475,1.1238,1.46593,0.77786,0.71522,0.79884,0.47585,1.37961,1.05875,1.45564,0.004753,0.004753,0.004753
55,7731.65,1.35336,1.13359,1.46226,0.79158,0.71011,0.79989,0.47612,1.38219,1.06103,1.45596,0.004654,0.004654,0.004654
56,7872.06,1.35847,1.12665,1.45971,0.78162,0.716,0.79909,0.47633,1.38454,1.05931,1.4554,0.004555,0.004555,0.004555
57,8012.4,1.35229,1.11195,1.45413,0.78427,0.70924,0.79807,0.47666,1.38166,1.06821,1.45424,0.004456,0.004456,0.004456
58,8152.66,1.34662,1.09526,1.4497,0.79338,0.70152,0.79633,0.47556,1.38305,1.06767,1.45381,0.004357,0.004357,0.004357
59,8293.27,1.34615,1.10024,1.45263,0.8049,0.69574,0.79805,0.47523,1.38782,1.06421,1.45665,0.004258,0.004258,0.004258
60,8433.65,1.34053,1.09427,1.44564,0.79861,0.70499,0.79764,0.47668,1.39141,1.06417,1.4583,0.004159,0.004159,0.004159
61,8573.93,1.33865,1.08745,1.44361,0.76894,0.72044,0.79824,0.47734,1.39401,1.06466,1.45894,0.00406,0.00406,0.00406
62,8714.19,1.33563,1.08822,1.4447,0.7707,0.72385,0.79901,0.47749,1.39598,1.0661,1.46133,0.003961,0.003961,0.003961
63,8854.46,1.32942,1.07006,1.43277,0.77032,0.7331,0.80092,0.47753,1.398,1.06621,1.46306,0.003862,0.003862,0.003862
64,8994.72,1.32435,1.06364,1.42883,0.76644,0.73325,0.79964,0.47815,1.39717,1.0616,1.46091,0.003763,0.003763,0.003763
65,9134.99,1.32275,1.06096,1.42856,0.78015,0.72002,0.80049,0.47836,1.39595,1.05823,1.46014,0.003664,0.003664,0.003664
66,9275.3,1.32159,1.05466,1.42584,0.78604,0.71793,0.80279,0.47772,1.39452,1.05266,1.45912,0.003565,0.003565,0.003565
67,9415.63,1.30508,1.04486,1.42127,0.79097,0.71549,0.80211,0.47802,1.39177,1.04845,1.45697,0.003466,0.003466,0.003466
68,9556.07,1.30989,1.03399,1.41549,0.78797,0.72142,0.80321,0.47767,1.39087,1.04495,1.45586,0.003367,0.003367,0.003367
69,9696.46,1.31037,1.02873,1.41794,0.78811,0.72306,0.80258,0.47869,1.38944,1.04085,1.45488,0.003268,0.003268,0.003268
70,9836.76,1.30064,1.02618,1.41157,0.77263,0.73652,0.80301,0.47853,1.38895,1.03716,1.45409,0.003169,0.003169,0.003169
71,9976.89,1.28932,1.01327,1.40562,0.77281,0.73626,0.80247,0.47864,1.38852,1.03515,1.4541,0.00307,0.00307,0.00307
72,10117.1,1.29292,1.00548,1.40846,0.77765,0.73284,0.80299,0.47912,1.38783,1.03235,1.45361,0.002971,0.002971,0.002971
73,10257.3,1.28782,0.99654,1.4024,0.77816,0.73576,0.80327,0.47922,1.38733,1.03111,1.45369,0.002872,0.002872,0.002872
74,10397.6,1.28544,1.00526,1.3996,0.76994,0.74138,0.80238,0.47923,1.38742,1.02898,1.45367,0.002773,0.002773,0.002773
75,10537.7,1.28549,0.99792,1.39989,0.76757,0.74511,0.80273,0.47936,1.38819,1.0271,1.45456,0.002674,0.002674,0.002674
76,10677.9,1.27886,0.97638,1.39102,0.76624,0.7424,0.80169,0.47972,1.38795,1.02628,1.45444,0.002575,0.002575,0.002575
77,10818.2,1.27138,0.97768,1.39348,0.78583,0.72839,0.80134,0.48056,1.38874,1.02471,1.4552,0.002476,0.002476,0.002476
78,10958.6,1.26664,0.97415,1.38942,0.78684,0.73126,0.8025,0.4816,1.39053,1.0212,1.45631,0.002377,0.002377,0.002377
79,11099,1.26276,0.96175,1.38091,0.78574,0.7335,0.80183,0.48127,1.38907,1.02158,1.45602,0.002278,0.002278,0.002278
80,11239.6,1.25825,0.95087,1.38103,0.7826,0.73564,0.80194,0.48138,1.38897,1.0205,1.45609,0.002179,0.002179,0.002179
81,11380.2,1.25233,0.94284,1.37124,0.77831,0.73925,0.80204,0.48123,1.38874,1.01918,1.45613,0.00208,0.00208,0.00208
82,11520.7,1.25174,0.93456,1.37111,0.78063,0.73824,0.80268,0.48128,1.38901,1.01806,1.45613,0.001981,0.001981,0.001981
83,11661.2,1.24349,0.93695,1.36748,0.77703,0.73808,0.80235,0.48104,1.3893,1.01618,1.45619,0.001882,0.001882,0.001882
84,11801.6,1.23531,0.92501,1.36445,0.7775,0.73918,0.80285,0.48081,1.38942,1.01554,1.45632,0.001783,0.001783,0.001783
85,11942.2,1.22839,0.91272,1.35312,0.77576,0.73885,0.80219,0.48115,1.38981,1.01473,1.45638,0.001684,0.001684,0.001684
86,12082.6,1.22226,0.91111,1.35054,0.7803,0.73756,0.80259,0.48099,1.3897,1.0137,1.45642,0.001585,0.001585,0.001585
87,12223.1,1.2281,0.90481,1.3528,0.77835,0.73718,0.80207,0.48114,1.38965,1.01271,1.45649,0.001486,0.001486,0.001486
88,12363.4,1.21684,0.90222,1.34693,0.77339,0.73855,0.80188,0.48148,1.38953,1.0121,1.4567,0.001387,0.001387,0.001387
89,12503.7,1.21025,0.88464,1.33949,0.77365,0.73771,0.80201,0.48108,1.38935,1.01147,1.45645,0.001288,0.001288,0.001288
90,12644.3,1.20677,0.88534,1.33699,0.76923,0.74341,0.80249,0.48097,1.39103,1.00886,1.45749,0.001189,0.001189,0.001189
91,12784.2,1.22316,0.82328,1.35351,0.76987,0.74261,0.80241,0.48065,1.39007,1.0094,1.45741,0.00109,0.00109,0.00109
92,12923.8,1.19994,0.78786,1.33763,0.77169,0.7416,0.80213,0.48084,1.39038,1.00807,1.45778,0.000991,0.000991,0.000991
93,13063.4,1.18478,0.76306,1.32605,0.77163,0.7412,0.80266,0.48072,1.39179,1.00521,1.45884,0.000892,0.000892,0.000892
94,13203,1.18131,0.76237,1.32344,0.77315,0.74127,0.80263,0.48113,1.39234,1.00337,1.45971,0.000793,0.000793,0.000793
95,13342.5,1.1704,0.75007,1.32033,0.7745,0.74261,0.8026,0.4811,1.39265,1.00163,1.46033,0.000694,0.000694,0.000694
96,13482,1.1645,0.74393,1.3137,0.77445,0.74238,0.8023,0.48125,1.39255,0.99978,1.46062,0.000595,0.000595,0.000595
97,13621.4,1.15447,0.72731,1.30798,0.78005,0.73364,0.80258,0.48126,1.3925,0.99811,1.4609,0.000496,0.000496,0.000496
98,13761,1.15353,0.7296,1.30525,0.77981,0.73209,0.80209,0.48078,1.39251,0.9963,1.46106,0.000397,0.000397,0.000397
99,13900.6,1.14118,0.71846,1.29582,0.78198,0.73209,0.80198,0.48096,1.39274,0.994,1.46132,0.000298,0.000298,0.000298
100,14040.1,1.12966,0.70665,1.29147,0.77886,0.73487,0.8014,0.48071,1.39321,0.99221,1.4621,0.000199,0.000199,0.000199
