epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7259.87,1.41527,1.22222,1.50873,0.76378,0.70842,0.78105,0.46173,1.3983,1.13897,1.47036,0.005842,0.005842,0.005842
44,7428.68,1.40468,1.20903,1.50228,0.75658,0.72785,0.78678,0.46487,1.41872,1.13532,1.47685,0.005743,0.005743,0.005743
45,7597.55,1.39995,1.2022,1.49911,0.76018,0.71888,0.78425,0.46575,1.40828,1.13358,1.47189,0.005644,0.005644,0.005644
46,7766.28,1.39216,1.19899,1.49241,0.75262,0.72708,0.78736,0.46415,1.41441,1.12835,1.4737,0.005545,0.005545,0.005545
47,7935.26,1.39307,1.18455,1.48922,0.7638,0.72945,0.79007,0.46605,1.41017,1.11587,1.47058,0.005446,0.005446,0.005446
48,8104.15,1.37969,1.16772,1.48195,0.75377,0.73337,0.79055,0.46803,1.4107,1.10643,1.47097,0.005347,0.005347,0.005347
49,8272.97,1.38614,1.16962,1.48307,0.76463,0.72546,0.78994,0.47099,1.40485,1.10016,1.46711,0.005248,0.005248,0.005248
50,8441.77,1.38737,1.16828,1.49324,0.76658,0.7237,0.79167,0.4721,1.41718,1.10684,1.472,0.005149,0.005149,0.005149
51,8610.58,1.3779,1.16338,1.48295,0.76524,0.72029,0.79066,0.47118,1.4226,1.09853,1.47479,0.00505,0.00505,0.00505
52,8779.29,1.37307,1.14787,1.47863,0.76855,0.72177,0.78869,0.46984,1.421,1.08889,1.47458,0.004951,0.004951,0.004951
53,8948.2,1.35793,1.13655,1.46585,0.77541,0.71979,0.79263,0.47046,1.41642,1.08244,1.47335,0.004852,0.004852,0.004852
54,9116.97,1.36481,1.12835,1.47011,0.77614,0.72444,0.7916,0.47103,1.41513,1.07592,1.47214,0.004753,0.004753,0.004753
55,9285.7,1.35492,1.1357,1.46387,0.78215,0.71752,0.79102,0.4712,1.41432,1.06925,1.47269,0.004654,0.004654,0.004654
56,9454.48,1.35526,1.12462,1.46327,0.77422,0.71794,0.79039,0.47251,1.40844,1.06972,1.47026,0.004555,0.004555,0.004555
57,9623.38,1.35355,1.11857,1.45638,0.7836,0.71425,0.79037,0.4726,1.4046,1.06582,1.46816,0.004456,0.004456,0.004456
58,9792.36,1.34981,1.09918,1.45299,0.78329,0.71549,0.7919,0.47234,1.40405,1.06239,1.46803,0.004357,0.004357,0.004357
59,9961.33,1.34953,1.10164,1.4552,0.78268,0.71491,0.79258,0.47271,1.40396,1.06614,1.46696,0.004258,0.004258,0.004258
60,10130.2,1.34181,1.08973,1.44774,0.78155,0.72119,0.79215,0.47316,1.40284,1.06454,1.46668,0.004159,0.004159,0.004159
61,10299.2,1.34229,1.08527,1.44548,0.78551,0.72109,0.79409,0.47426,1.40155,1.0624,1.46558,0.00406,0.00406,0.00406
62,10468.1,1.33583,1.0883,1.44732,0.78584,0.72441,0.79571,0.47461,1.40166,1.06222,1.46556,0.003961,0.003961,0.003961
63,10636.9,1.33395,1.06631,1.4385,0.7902,0.72348,0.79534,0.47441,1.40223,1.06257,1.46627,0.003862,0.003862,0.003862
64,10805.5,1.3244,1.06188,1.43267,0.78607,0.72191,0.79474,0.47509,1.40073,1.05936,1.46517,0.003763,0.003763,0.003763
65,10974.2,1.32219,1.05806,1.42987,0.78559,0.72414,0.79529,0.47575,1.39981,1.05661,1.46541,0.003664,0.003664,0.003664
66,11142.9,1.32142,1.0525,1.42669,0.78637,0.72497,0.79483,0.47551,1.3988,1.05337,1.46533,0.003565,0.003565,0.003565
67,11311.7,1.30563,1.04873,1.42523,0.78961,0.72672,0.795,0.47672,1.39839,1.04996,1.46579,0.003466,0.003466,0.003466
68,11480.5,1.315,1.02993,1.41895,0.79175,0.72416,0.79408,0.47705,1.39709,1.04752,1.46513,0.003367,0.003367,0.003367
69,11649.2,1.30805,1.03066,1.4176,0.80023,0.72034,0.79588,0.47726,1.395,1.04542,1.46433,0.003268,0.003268,0.003268
70,11818,1.30109,1.02457,1.41269,0.79908,0.724,0.79671,0.47752,1.39475,1.04257,1.4648,0.003169,0.003169,0.003169
71,11986.7,1.29102,1.01582,1.4058,0.80163,0.72252,0.79518,0.47824,1.39504,1.04118,1.46466,0.00307,0.00307,0.00307
72,12155.5,1.29138,1.004,1.40826,0.8078,0.72171,0.79583,0.47852,1.39472,1.04,1.46451,0.002971,0.002971,0.002971
73,12324.1,1.28794,0.99365,1.40488,0.80699,0.72124,0.79612,0.47854,1.39481,1.03948,1.46488,0.002872,0.002872,0.002872
74,12492.8,1.28482,1.00298,1.4019,0.80426,0.72223,0.7958,0.47854,1.3946,1.03971,1.46491,0.002773,0.002773,0.002773
75,12661.5,1.28327,0.989,1.39972,0.80277,0.72187,0.79579,0.47822,1.39427,1.0412,1.46443,0.002674,0.002674,0.002674
76,12830.2,1.28037,0.97553,1.39374,0.80106,0.72129,0.79593,0.47732,1.39327,1.04028,1.46368,0.002575,0.002575,0.002575
