epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5840.18,1.4127,1.22462,1.52184,0.77651,0.71037,0.78231,0.45884,1.38296,1.14735,1.4801,0.005842,0.005842,0.005842
44,5975.74,1.40434,1.21683,1.51691,0.77186,0.71326,0.78216,0.46026,1.38907,1.12516,1.48231,0.005743,0.005743,0.005743
45,6111.27,1.40681,1.21007,1.51424,0.78005,0.6964,0.77736,0.45942,1.39431,1.12534,1.48712,0.005644,0.005644,0.005644
46,6247.02,1.39701,1.204,1.5047,0.7724,0.70699,0.78307,0.46154,1.40538,1.1352,1.48584,0.005545,0.005545,0.005545
47,6382.8,1.39295,1.1901,1.49899,0.77024,0.70783,0.78287,0.46108,1.41373,1.12929,1.4918,0.005446,0.005446,0.005446
48,6518.44,1.38279,1.18065,1.49467,0.79214,0.71052,0.78194,0.4655,1.39916,1.11817,1.48101,0.005347,0.005347,0.005347
49,6654.07,1.38494,1.18082,1.49151,0.78758,0.70993,0.7858,0.46731,1.39164,1.11519,1.476,0.005248,0.005248,0.005248
50,6789.66,1.38787,1.17887,1.50042,0.77512,0.71126,0.78501,0.46496,1.39705,1.11003,1.47897,0.005149,0.005149,0.005149
51,6925.12,1.3813,1.17639,1.49116,0.77286,0.72369,0.78624,0.46866,1.38964,1.10417,1.47376,0.00505,0.00505,0.00505
52,7060.6,1.37316,1.15436,1.4855,0.78957,0.71591,0.79102,0.47019,1.39275,1.09427,1.47675,0.004951,0.004951,0.004951
53,7201.92,1.3601,1.14402,1.47658,0.78633,0.72244,0.79152,0.47093,1.39502,1.08434,1.47961,0.004852,0.004852,0.004852
54,7337.36,1.36388,1.13411,1.47547,0.78942,0.71791,0.79173,0.47097,1.39495,1.08107,1.47923,0.004753,0.004753,0.004753
55,7473.12,1.35473,1.14008,1.47729,0.77737,0.72705,0.79256,0.47102,1.39714,1.07666,1.48383,0.004654,0.004654,0.004654
56,7608.51,1.35692,1.13029,1.47157,0.77659,0.72104,0.79383,0.47256,1.3886,1.0679,1.47716,0.004555,0.004555,0.004555
57,7743.93,1.35048,1.11816,1.46602,0.78111,0.72111,0.79372,0.47368,1.38212,1.06353,1.47125,0.004456,0.004456,0.004456
58,7879.38,1.34712,1.10575,1.4622,0.78141,0.72163,0.79363,0.47435,1.37927,1.0616,1.46899,0.004357,0.004357,0.004357
59,8014.69,1.35027,1.11148,1.46452,0.78068,0.72717,0.79404,0.47444,1.38249,1.05996,1.46978,0.004258,0.004258,0.004258
60,8150.55,1.34411,1.09779,1.45784,0.78377,0.73322,0.79537,0.47486,1.38633,1.05839,1.47098,0.004159,0.004159,0.004159
61,8285.93,1.33723,1.08657,1.44957,0.77782,0.73726,0.79578,0.47534,1.39016,1.05888,1.47241,0.00406,0.00406,0.00406
62,8421.28,1.33778,1.0929,1.45673,0.77645,0.73345,0.79593,0.4761,1.3918,1.05713,1.4737,0.003961,0.003961,0.003961
63,8556.67,1.33501,1.07598,1.44585,0.78268,0.72757,0.79694,0.47487,1.39617,1.05368,1.47479,0.003862,0.003862,0.003862
64,8692.06,1.32888,1.07357,1.44484,0.78763,0.72579,0.79787,0.47534,1.3965,1.05339,1.47368,0.003763,0.003763,0.003763
65,8827.51,1.32798,1.06794,1.44441,0.77604,0.73605,0.79686,0.47591,1.39885,1.05175,1.47486,0.003664,0.003664,0.003664
66,8962.91,1.3296,1.06232,1.44282,0.7703,0.74165,0.79863,0.47586,1.39989,1.04757,1.47482,0.003565,0.003565,0.003565
67,9098.21,1.30621,1.04671,1.43,0.77359,0.74403,0.8003,0.47706,1.40128,1.04581,1.47667,0.003466,0.003466,0.003466
68,9233.54,1.31457,1.04079,1.42903,0.77703,0.74364,0.7998,0.4771,1.40242,1.04397,1.47701,0.003367,0.003367,0.003367
69,9368.94,1.31077,1.03858,1.42808,0.7753,0.74367,0.80005,0.47683,1.40022,1.04127,1.47513,0.003268,0.003268,0.003268
70,9504.22,1.29885,1.03627,1.42161,0.77595,0.74456,0.80029,0.47636,1.39921,1.04016,1.47452,0.003169,0.003169,0.003169
71,9640.19,1.29197,1.02584,1.4134,0.77559,0.74508,0.79967,0.4774,1.39838,1.03852,1.47387,0.00307,0.00307,0.00307
72,9776.11,1.29362,1.01321,1.41829,0.77754,0.74563,0.80038,0.47761,1.39787,1.03629,1.47354,0.002971,0.002971,0.002971
73,9911.48,1.2877,0.99728,1.41034,0.77488,0.74529,0.80019,0.47777,1.39842,1.03447,1.47373,0.002872,0.002872,0.002872
74,10046.8,1.28801,1.00787,1.40981,0.77464,0.74438,0.79988,0.47834,1.3991,1.03102,1.47471,0.002773,0.002773,0.002773
75,10182.2,1.285,0.99938,1.4064,0.77489,0.74395,0.79917,0.47824,1.39971,1.02909,1.47529,0.002674,0.002674,0.002674
76,10317.6,1.27952,0.9881,1.39645,0.7708,0.74499,0.79875,0.47882,1.40061,1.02756,1.47527,0.002575,0.002575,0.002575
77,10453.4,1.27724,0.98221,1.40151,0.76968,0.74527,0.79832,0.47876,1.40126,1.02535,1.47514,0.002476,0.002476,0.002476
78,10588.7,1.26954,0.97356,1.39988,0.7682,0.74409,0.79749,0.47896,1.40144,1.02302,1.47537,0.002377,0.002377,0.002377
79,10724.3,1.26363,0.95689,1.3899,0.76799,0.74554,0.79778,0.47888,1.40287,1.0187,1.47622,0.002278,0.002278,0.002278
80,10859.8,1.25817,0.95223,1.38594,0.76839,0.74695,0.79736,0.47938,1.40387,1.01684,1.47696,0.002179,0.002179,0.002179
81,10995.3,1.25545,0.94786,1.38459,0.77145,0.742,0.79724,0.47915,1.40345,1.0151,1.4763,0.00208,0.00208,0.00208
82,11130.8,1.25269,0.9476,1.38389,0.7689,0.74863,0.79793,0.47976,1.40302,1.01476,1.47554,0.001981,0.001981,0.001981
83,11266.3,1.24449,0.94304,1.3791,0.77334,0.74089,0.79671,0.47961,1.40322,1.01382,1.47544,0.001882,0.001882,0.001882
84,11401.8,1.23681,0.92718,1.37503,0.77245,0.7411,0.79689,0.47949,1.40368,1.01214,1.47605,0.001783,0.001783,0.001783
85,11537.3,1.23366,0.91894,1.36597,0.77217,0.74076,0.7962,0.47997,1.40512,1.01068,1.47644,0.001684,0.001684,0.001684
86,11673,1.22584,0.91998,1.36527,0.77409,0.73984,0.79603,0.48029,1.40569,1.00955,1.47677,0.001585,0.001585,0.001585
87,11808.5,1.22758,0.90916,1.36066,0.7704,0.74407,0.7962,0.48016,1.40611,1.00874,1.47691,0.001486,0.001486,0.001486
88,11944,1.22049,0.90387,1.3587,0.77243,0.74306,0.79618,0.48039,1.40624,1.00873,1.47699,0.001387,0.001387,0.001387
89,12079.4,1.20789,0.88811,1.34885,0.76264,0.75398,0.79665,0.48012,1.40628,1.00767,1.47696,0.001288,0.001288,0.001288
90,12214.9,1.21319,0.88808,1.35161,0.77272,0.74422,0.7973,0.48025,1.40647,1.00764,1.47681,0.001189,0.001189,0.001189
91,12350,1.22567,0.82487,1.36652,0.77121,0.74378,0.79629,0.48021,1.40686,1.00708,1.47669,0.00109,0.00109,0.00109
92,12484.7,1.207,0.79322,1.35058,0.76835,0.74515,0.79744,0.48064,1.40737,1.00603,1.47687,0.000991,0.000991,0.000991
93,12619.6,1.19327,0.77959,1.34244,0.77418,0.7437,0.79811,0.48077,1.40784,1.00447,1.47733,0.000892,0.000892,0.000892
94,12754.3,1.18533,0.77131,1.34018,0.77279,0.74474,0.79847,0.48066,1.4078,1.00346,1.47643,0.000793,0.000793,0.000793
95,12889.2,1.17274,0.76148,1.32951,0.77109,0.74563,0.79853,0.48066,1.40817,1.00252,1.47664,0.000694,0.000694,0.000694
96,13023.9,1.16637,0.74953,1.32389,0.77157,0.7441,0.79776,0.48042,1.40913,1.00075,1.47724,0.000595,0.000595,0.000595
97,13158.6,1.16049,0.73993,1.32011,0.77251,0.74406,0.79769,0.48037,1.40994,0.99948,1.47774,0.000496,0.000496,0.000496
98,13293.3,1.15918,0.73315,1.31671,0.77276,0.7425,0.7981,0.48008,1.41031,0.99786,1.47819,0.000397,0.000397,0.000397
99,13428,1.14556,0.72286,1.3048,0.77152,0.74295,0.79799,0.47986,1.41083,0.996,1.47886,0.000298,0.000298,0.000298
100,13562.7,1.14505,0.72704,1.30803,0.77353,0.74201,0.79816,0.48014,1.41119,0.99498,1.4791,0.000199,0.000199,0.000199
