epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,86.0869,1.6276,2.67174,1.51426,0.43394,0.4193,0.37207,0.17098,1.79958,3.14308,1.58768,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646
2,156.817,1.67836,1.8463,1.51546,0.42735,0.37381,0.35265,0.16088,1.91696,3.85154,1.70462,0.0197816,0.00659386,0.0197816,0.00659386,0.0197816,0.00659386,0.0197816,0.00659386
3,219.353,1.75747,1.88181,1.58757,0.36696,0.3523,0.29436,0.12638,1.98128,7.53222,1.84548,0.0293858,0.00979526,0.0293858,0.00979526,0.0293858,0.00979526,0.0293858,0.00979526
4,281.58,1.79927,1.9328,1.62637,0.40468,0.37529,0.35223,0.15531,1.9334,3.83467,1.7854,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,343.642,1.73342,1.79243,1.58817,0.53251,0.42902,0.45131,0.21665,1.79765,2.47137,1.61443,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,406.055,1.67097,1.67509,1.54292,0.55069,0.50047,0.50571,0.25629,1.64642,3.61267,1.5577,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,468.001,1.64119,1.60134,1.51958,0.5723,0.50248,0.51742,0.26709,1.62727,1.79056,1.50915,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,530.054,1.61194,1.54869,1.49717,0.60636,0.4929,0.53385,0.27192,1.6803,1.76874,1.51895,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,592.359,1.57824,1.50755,1.47692,0.65488,0.53225,0.59588,0.31912,1.58797,1.74005,1.48329,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,654.589,1.56432,1.46242,1.46351,0.65009,0.56195,0.60627,0.32758,1.6335,1.48006,1.47945,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,717.023,1.54296,1.43211,1.44859,0.67446,0.56317,0.62317,0.33054,1.57982,1.64239,1.43594,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,779.495,1.53625,1.40938,1.43795,0.67563,0.60723,0.6552,0.36204,1.47027,1.46673,1.39075,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,841.712,1.51777,1.38593,1.42919,0.65917,0.61372,0.66204,0.36287,1.49975,1.50159,1.38114,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,904.173,1.503,1.3628,1.41436,0.68635,0.61652,0.66962,0.36122,1.512,1.36865,1.3818,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,966.508,1.50048,1.33788,1.41028,0.66713,0.61754,0.66455,0.36671,1.47209,1.53032,1.36362,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1029.06,1.48784,1.33103,1.39964,0.65854,0.60147,0.66241,0.37097,1.48408,1.6279,1.38095,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1091.3,1.47888,1.30732,1.39976,0.67712,0.62745,0.67968,0.38216,1.48109,1.35621,1.37602,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1153.73,1.46631,1.29109,1.3901,0.74244,0.60696,0.70103,0.39134,1.46473,1.4234,1.3615,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1216.18,1.45577,1.26113,1.37739,0.72497,0.63558,0.70451,0.39981,1.43795,1.41539,1.3514,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1278.59,1.44699,1.26459,1.3805,0.69252,0.63856,0.6991,0.39404,1.46852,1.32594,1.35735,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1341.01,1.43996,1.25295,1.36898,0.70051,0.65528,0.71446,0.4057,1.43886,1.22081,1.34409,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1403.34,1.44371,1.23564,1.36603,0.70194,0.65468,0.71459,0.40511,1.43829,1.34068,1.3444,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1465.62,1.42822,1.22622,1.36243,0.74303,0.62854,0.7122,0.41104,1.41575,1.22551,1.32015,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1528.03,1.43424,1.21841,1.36753,0.72646,0.65094,0.72009,0.41746,1.41198,1.26944,1.31843,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1590.24,1.41302,1.19725,1.35216,0.75187,0.65171,0.72868,0.4155,1.4099,1.2493,1.30954,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1652.71,1.41205,1.18941,1.34962,0.74998,0.67078,0.73922,0.42534,1.38148,1.17884,1.30623,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1714.95,1.40224,1.17897,1.34024,0.75785,0.67009,0.73982,0.42824,1.39378,1.10045,1.31676,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1777.37,1.40573,1.18004,1.34322,0.72705,0.69694,0.7456,0.43446,1.39941,1.11145,1.31098,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1839.51,1.40461,1.16748,1.33804,0.73478,0.69493,0.74786,0.43578,1.40065,1.07144,1.30297,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1901.78,1.38777,1.15857,1.32451,0.73862,0.68511,0.7478,0.43672,1.3636,1.09955,1.29136,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1964.02,1.37938,1.13328,1.32037,0.75591,0.69283,0.75913,0.44652,1.36759,1.05763,1.27842,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2026.37,1.38258,1.13497,1.3232,0.76311,0.68691,0.75777,0.44581,1.38855,1.09045,1.29573,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2088.01,1.37075,1.1221,1.31446,0.77259,0.67859,0.75459,0.44666,1.36602,1.06429,1.28865,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2149.82,1.3672,1.11478,1.31342,0.73369,0.70417,0.76011,0.44714,1.35549,1.04649,1.28651,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2212.3,1.36463,1.11161,1.30991,0.73304,0.71641,0.76746,0.45018,1.36568,1.03771,1.29233,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2275.5,1.36147,1.09321,1.30872,0.75627,0.6958,0.76708,0.45075,1.36155,1.01189,1.29208,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2339.97,1.35511,1.10019,1.30548,0.75715,0.7055,0.765,0.45101,1.35661,0.99531,1.28509,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2403.07,1.3534,1.08819,1.29895,0.7788,0.69181,0.76906,0.45415,1.35684,1.00868,1.28348,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2466.41,1.34209,1.07978,1.29802,0.75841,0.70186,0.76748,0.4556,1.35559,1.01065,1.28555,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2529.16,1.34262,1.08178,1.29452,0.77768,0.70024,0.77136,0.45682,1.38649,1.02548,1.30248,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2591.65,1.33953,1.0626,1.29593,0.76406,0.7081,0.77908,0.45886,1.37661,0.99273,1.29184,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2654.45,1.32796,1.0626,1.28593,0.76263,0.72324,0.78158,0.46292,1.39236,0.99415,1.29535,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2717.03,1.32963,1.0499,1.28628,0.76661,0.71642,0.77781,0.46246,1.40625,0.98832,1.30789,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
