epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,87.7575,1.63285,2.66514,1.51384,0.50683,0.39343,0.38416,0.17945,1.79635,2.58217,1.5962,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646
2,158.609,1.6704,1.85975,1.51938,0.47853,0.39572,0.38943,0.18582,1.78817,4.88697,1.6118,0.0197816,0.00659386,0.0197816,0.00659386,0.0197816,0.00659386,0.0197816,0.00659386
3,221.741,1.75773,1.87224,1.5922,0.31297,0.28993,0.20486,0.08055,2.16225,13.479,2.02269,0.0293858,0.00979526,0.0293858,0.00979526,0.0293858,0.00979526,0.0293858,0.00979526
4,284.509,1.79903,1.93062,1.6357,0.48666,0.4225,0.40698,0.18949,1.87552,2.81094,1.70949,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,346.944,1.72595,1.79918,1.59019,0.52958,0.45116,0.45109,0.21069,1.83263,2.29802,1.65071,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,409.691,1.67103,1.67571,1.54369,0.53994,0.45599,0.48971,0.23776,1.76535,2.73261,1.61952,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,472.173,1.63878,1.60264,1.5188,0.56635,0.49188,0.5008,0.25698,1.66654,2.7181,1.52965,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,534.615,1.60812,1.54425,1.49649,0.59639,0.54689,0.57394,0.29766,1.6123,1.87982,1.50485,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,597.102,1.58301,1.50393,1.47447,0.63352,0.54408,0.58316,0.30124,1.62441,2.02758,1.48037,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,659.525,1.56683,1.4603,1.46237,0.627,0.58051,0.61731,0.33134,1.54088,1.53809,1.41733,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,721.912,1.54095,1.43405,1.43946,0.63863,0.55973,0.60671,0.32239,1.57894,1.75669,1.48434,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,784.253,1.53055,1.41517,1.43213,0.65665,0.58318,0.62916,0.34402,1.51573,1.76256,1.41176,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,846.473,1.51806,1.37796,1.42747,0.67487,0.60919,0.67549,0.36932,1.50287,1.40409,1.37218,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,908.905,1.50419,1.36763,1.41599,0.67291,0.62568,0.68237,0.37133,1.49641,1.46889,1.3813,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,971.099,1.49889,1.33787,1.41211,0.68632,0.59825,0.66977,0.37065,1.51187,1.47374,1.39186,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1033.39,1.48828,1.32801,1.40579,0.68346,0.62286,0.68078,0.37918,1.49054,1.48694,1.39626,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1095.4,1.47893,1.31445,1.40109,0.69969,0.61528,0.68581,0.3875,1.47982,1.30469,1.35883,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1157.53,1.4601,1.29061,1.38617,0.69375,0.64663,0.70591,0.39724,1.45415,1.29543,1.34799,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1219.73,1.45668,1.26525,1.37748,0.72142,0.63481,0.70846,0.39573,1.46704,1.21398,1.36841,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1281.9,1.44314,1.25235,1.37412,0.70418,0.64498,0.70942,0.4021,1.50097,1.22586,1.38356,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1344,1.43487,1.24109,1.36756,0.72361,0.63518,0.72391,0.41113,1.44143,1.16224,1.34005,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1406.23,1.44441,1.23621,1.36701,0.72778,0.65887,0.72854,0.41829,1.42158,1.25181,1.32085,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
