epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5218.37,1.41222,1.2267,1.51024,0.78183,0.70585,0.78727,0.46609,1.3786,1.12912,1.47124,0.005842,0.005842,0.005842
44,5338.79,1.40005,1.20851,1.50706,0.79996,0.69439,0.78964,0.46705,1.3805,1.10028,1.47128,0.005743,0.005743,0.005743
45,5459.3,1.40042,1.19445,1.50057,0.78686,0.70535,0.78816,0.46824,1.38273,1.09332,1.46857,0.005644,0.005644,0.005644
46,5579.8,1.39348,1.19253,1.49218,0.79402,0.70908,0.79112,0.46738,1.37611,1.10564,1.46953,0.005545,0.005545,0.005545
47,5700.32,1.38826,1.18488,1.49008,0.79875,0.70069,0.79126,0.47131,1.38452,1.09186,1.4775,0.005446,0.005446,0.005446
48,5820.74,1.37878,1.17354,1.49178,0.79363,0.70914,0.7917,0.47328,1.37798,1.10927,1.47678,0.005347,0.005347,0.005347
49,5941.15,1.38574,1.1722,1.48639,0.79425,0.71116,0.79371,0.47253,1.37219,1.09829,1.47386,0.005248,0.005248,0.005248
50,6061.68,1.38478,1.16567,1.49148,0.78777,0.71291,0.79385,0.47368,1.36803,1.08906,1.46827,0.005149,0.005149,0.005149
51,6182.19,1.37775,1.16489,1.483,0.78552,0.7183,0.79516,0.47592,1.36828,1.07849,1.46747,0.00505,0.00505,0.00505
52,6302.68,1.3719,1.13974,1.47562,0.78912,0.71578,0.79435,0.47582,1.36972,1.07441,1.46783,0.004951,0.004951,0.004951
53,6423.13,1.35672,1.1297,1.46331,0.79891,0.71494,0.79608,0.47628,1.36392,1.06791,1.46258,0.004852,0.004852,0.004852
54,6543.66,1.36224,1.12797,1.47071,0.79927,0.71415,0.79403,0.47494,1.36324,1.05979,1.46192,0.004753,0.004753,0.004753
55,6664.17,1.35242,1.12876,1.46633,0.80064,0.71218,0.7953,0.47596,1.36596,1.05863,1.46323,0.004654,0.004654,0.004654
56,6784.59,1.35481,1.12235,1.46642,0.791,0.71776,0.79445,0.4766,1.36166,1.05811,1.46112,0.004555,0.004555,0.004555
57,6905.05,1.35305,1.11448,1.45914,0.79159,0.72243,0.79481,0.47573,1.36279,1.05771,1.45989,0.004456,0.004456,0.004456
58,7025.54,1.34295,1.09815,1.4506,0.78951,0.72067,0.79486,0.47699,1.36121,1.05188,1.45966,0.004357,0.004357,0.004357
59,7146.03,1.34566,1.1057,1.45896,0.77697,0.72962,0.79474,0.47821,1.36128,1.0457,1.45973,0.004258,0.004258,0.004258
60,7266.44,1.34109,1.09305,1.4522,0.77344,0.73236,0.7961,0.4779,1.36231,1.04372,1.45882,0.004159,0.004159,0.004159
