epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.397,2.68087,3.07075,3.34926,0.35584,0.36643,0.25643,0.0961,2.29951,6.07606,2.744,0.00332645,0.00332645,0.070062
2,235.32,1.98839,2.15825,2.32245,0.42752,0.42526,0.34685,0.14484,1.99696,4.12827,2.26073,0.00659385,0.00659385,0.0399961
3,353.041,1.87161,2.12642,2.09389,0.24902,0.25115,0.15647,0.05797,2.4374,6.4599,2.6465,0.00979525,0.00979525,0.00986412
4,470.196,1.85139,2.15132,2.01662,0.45418,0.39915,0.36799,0.16242,1.84144,4.88263,1.97386,0.009703,0.009703,0.009703
5,586.56,1.7683,2.01693,1.91763,0.52685,0.47198,0.47752,0.22747,1.78626,2.64983,1.89021,0.009604,0.009604,0.009604
6,702.868,1.71589,1.90396,1.85692,0.60557,0.52064,0.54061,0.26444,1.72979,2.46263,1.87127,0.009505,0.009505,0.009505
7,818.518,1.68693,1.82672,1.81878,0.61525,0.51892,0.5691,0.27792,1.72937,2.28046,1.82018,0.009406,0.009406,0.009406
8,932.917,1.64978,1.77177,1.78045,0.60697,0.53954,0.56783,0.28567,1.63578,2.16366,1.72904,0.009307,0.009307,0.009307
9,1047.62,1.62521,1.70862,1.74488,0.66156,0.52148,0.59684,0.31366,1.61059,1.98954,1.71168,0.009208,0.009208,0.009208
10,1163.36,1.61398,1.68865,1.73668,0.64232,0.53423,0.58925,0.30973,1.60064,2.19059,1.73694,0.009109,0.009109,0.009109
11,1282.43,1.60237,1.66092,1.72141,0.67538,0.54576,0.62173,0.33388,1.58061,1.73979,1.6959,0.00901,0.00901,0.00901
12,1401.6,1.59009,1.62513,1.70637,0.64834,0.55814,0.61605,0.32706,1.60398,1.87439,1.69918,0.008911,0.008911,0.008911
13,1517.84,1.5686,1.58733,1.69128,0.68199,0.57091,0.64718,0.34635,1.53738,1.60871,1.63741,0.008812,0.008812,0.008812
14,1632.4,1.56068,1.55868,1.6808,0.69077,0.58784,0.64369,0.34675,1.5424,1.55093,1.63701,0.008713,0.008713,0.008713
15,1747.28,1.556,1.56031,1.66795,0.67234,0.60886,0.66109,0.36618,1.50256,1.69185,1.60622,0.008614,0.008614,0.008614
16,1861.61,1.54307,1.53089,1.65533,0.69574,0.60031,0.67695,0.37501,1.48915,1.46589,1.59333,0.008515,0.008515,0.008515
