epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2018.17,1.3817,1.13245,1.32334,0.76199,0.68481,0.74946,0.43689,1.40403,1.11538,1.30343,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2080.29,1.3732,1.12224,1.31567,0.78811,0.68091,0.76388,0.44828,1.392,1.13541,1.29513,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2142.42,1.36832,1.11184,1.31492,0.74711,0.6967,0.76384,0.44335,1.40778,1.13888,1.30786,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2204.47,1.36423,1.10526,1.30921,0.76761,0.69535,0.76977,0.45362,1.38722,1.06803,1.2935,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2266.74,1.36328,1.09818,1.31132,0.79085,0.69599,0.77151,0.45542,1.38074,1.04602,1.28572,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2328.76,1.35317,1.09465,1.30441,0.77337,0.69426,0.76844,0.45391,1.35941,1.00645,1.27743,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2390.94,1.35062,1.08863,1.29862,0.76578,0.70592,0.76847,0.4519,1.37644,1.03223,1.28215,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2453.13,1.3378,1.07069,1.29272,0.76676,0.71409,0.78031,0.45785,1.37057,1.01492,1.28422,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2515.2,1.34345,1.07666,1.29191,0.78985,0.70894,0.78301,0.46616,1.36668,0.97994,1.27887,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2577.21,1.33808,1.06188,1.29114,0.77077,0.7151,0.7772,0.46207,1.35068,1.00535,1.27395,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
