epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.125,2.69253,3.18938,3.386,0.36348,0.40655,0.29534,0.11405,2.1749,4.68284,2.60241,0.00332645,0.00332645,0.070062
2,230.765,1.97263,2.17494,2.31886,0.47516,0.43632,0.38663,0.16321,1.93931,4.90771,2.23012,0.00659385,0.00659385,0.0399961
3,345.414,1.86324,2.13562,2.11071,0.29463,0.26951,0.20395,0.07591,2.07236,9.33145,2.3263,0.00979525,0.00979525,0.00986412
4,458.065,1.84337,2.15712,2.02156,0.42259,0.40479,0.34678,0.14548,1.91445,3.64673,2.06289,0.009703,0.009703,0.009703
5,570.145,1.76892,2.01102,1.91109,0.51786,0.49427,0.47394,0.22972,1.73941,3.12462,1.83495,0.009604,0.009604,0.009604
6,682.986,1.71113,1.89682,1.84127,0.59022,0.48778,0.52207,0.25306,1.70408,2.66328,1.80933,0.009505,0.009505,0.009505
7,798.391,1.67433,1.81787,1.79881,0.56396,0.48465,0.50373,0.24784,1.73604,2.40172,1.83171,0.009406,0.009406,0.009406
8,913.212,1.64978,1.77835,1.76934,0.59285,0.53734,0.56607,0.28689,1.6357,2.1203,1.74802,0.009307,0.009307,0.009307
9,1028.27,1.61917,1.70264,1.73279,0.62262,0.51273,0.56875,0.28923,1.61938,1.84745,1.70949,0.009208,0.009208,0.009208
10,1144.96,1.6158,1.68468,1.72327,0.65996,0.52077,0.59506,0.3109,1.59149,2.13424,1.68354,0.009109,0.009109,0.009109
11,1263.28,1.60374,1.65336,1.7125,0.66371,0.55785,0.62155,0.33925,1.55137,1.88109,1.66914,0.00901,0.00901,0.00901
12,1380.68,1.58857,1.62319,1.69304,0.68404,0.56047,0.63703,0.34762,1.53762,1.71183,1.64786,0.008911,0.008911,0.008911
13,1499.42,1.56962,1.5863,1.68137,0.68448,0.55912,0.6395,0.34841,1.56241,1.64204,1.65009,0.008812,0.008812,0.008812
14,1614.8,1.56132,1.55682,1.67352,0.70845,0.56612,0.6541,0.35234,1.5717,1.58882,1.64864,0.008713,0.008713,0.008713
15,1729.7,1.55574,1.54264,1.65686,0.71763,0.59834,0.68037,0.37975,1.51374,1.52818,1.62569,0.008614,0.008614,0.008614
16,1848.11,1.5462,1.52053,1.64613,0.71462,0.58343,0.66537,0.36728,1.51836,1.62823,1.59437,0.008515,0.008515,0.008515
17,1967.73,1.53826,1.50485,1.63797,0.69352,0.60999,0.66966,0.37876,1.49057,1.70802,1.58412,0.008416,0.008416,0.008416
18,2085.77,1.52706,1.48564,1.63553,0.68926,0.59945,0.6674,0.37505,1.54417,1.51534,1.61115,0.008317,0.008317,0.008317
19,2205.26,1.52507,1.46511,1.62147,0.69703,0.61946,0.68956,0.38674,1.51313,1.47264,1.57277,0.008218,0.008218,0.008218
20,2323.49,1.517,1.4593,1.61118,0.69299,0.6445,0.70638,0.4043,1.49971,1.41047,1.56011,0.008119,0.008119,0.008119
21,2441.34,1.50434,1.42833,1.59698,0.71399,0.63159,0.70944,0.40345,1.47854,1.52281,1.54532,0.00802,0.00802,0.00802
22,2559.14,1.50821,1.42456,1.59463,0.72125,0.64161,0.71469,0.41047,1.45559,1.32918,1.5325,0.007921,0.007921,0.007921
23,2676.66,1.50251,1.40325,1.593,0.72926,0.63927,0.7252,0.414,1.46556,1.38052,1.53652,0.007822,0.007822,0.007822
24,2794.89,1.50064,1.40551,1.59644,0.70973,0.67061,0.73869,0.42162,1.43631,1.30462,1.51728,0.007723,0.007723,0.007723
25,2916.27,1.47741,1.374,1.57744,0.74155,0.65718,0.74079,0.42503,1.44629,1.32348,1.51915,0.007624,0.007624,0.007624
26,3037.69,1.47972,1.36261,1.57682,0.73212,0.67168,0.74653,0.43064,1.45538,1.32149,1.52311,0.007525,0.007525,0.007525
27,3155.31,1.47612,1.35986,1.56675,0.72278,0.66783,0.741,0.42647,1.43333,1.23558,1.50531,0.007426,0.007426,0.007426
28,3273.16,1.47378,1.35233,1.56565,0.74224,0.65611,0.74614,0.43026,1.41397,1.31927,1.50008,0.007327,0.007327,0.007327
29,3390.42,1.46055,1.33625,1.56285,0.7434,0.68374,0.75394,0.43646,1.44933,1.25417,1.51299,0.007228,0.007228,0.007228
